"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,1571.29976048641,1361.5,1277.72681869295,1443,1362,1235,1351,73.5110311521839
"2002/2003",2003,120,120,100,1432.11313115447,1173,925.809047091806,1350,1058.5,1319,1057,69.5212613040913
"2003/2004",2004,120,120,100,1760.08532162955,1435.5,1220.3676811668,1632.5,1358.5,1563,1358.5,78.4499152583755
"2004/2005",2005,121,121,100,1790.53962387527,1527.5,1339.49838678645,1678,1462.5,1475,1454.5,81.9029381736805
"2005/2006",2006,120,120,100,1615.34134238559,1333.5,1194.16598256275,1487,1291.5,1331,1289,74.711355592898
"2006/2007",2007,120,120,100,1543.14691806046,1235.5,1118.87948935539,1406.5,1198.5,1241,1192.5,72.9421596768815
"2007/2008",2008,120,120,100,1343.55273086288,1000.5,816.639506117116,1232.5,925,1150,925,62.9128474123804
"2008/2009",2009,121,121,100,1752.44948719191,1502.5,1279.98288805543,1633.5,1434,1497,1407.5,75.6797064615837
"2009/2010",2010,120,120,100,1776.85755974476,1431.5,1179.67844109325,1655,1314,1622,1313.5,75.2145518829866
"2010/2011",2011,120,120,100,1735.1075939255,1424,1226.50019076539,1611.5,1360,1507,1360,73.418885591587
"2011/2012",2012,120,120,100,1323.76070759415,1099.5,926.589704271995,1246.5,1034.5,1123,1025,66.272682938745
"2012/2013",2013,121,121,100,1635.13323463157,1301.5,1126.80737276178,1517,1243.5,1420,1238,75.9583862900588
"2013/2014",2014,120,120,100,1193.58944016172,964,905.950319628031,1079,960,953,957.5,64.5955413430256
"2014/2015",2015,120,120,100,1587.92144448094,1271,1090.49489315442,1478,1189.5,1405,1176,74.9889504003097
"2015/2016",2016,120,120,100,1458.40299555923,1119,1019.48351417028,1342,1073,1223,1073,69.7811455070196
"2016/2017",2017,121,121,100,1545.94535437477,1268,1093.41410949883,1434.5,1219.5,1286,1198,74.4468724802623
"2017/2018",2018,120,120,100,1278.10952223015,1012,893.177271776231,1177.5,955.5,1074,952.5,64.6659960076786
"2018/2019",2019,120,120,100,1472.95703425735,1144.5,1020.50636625987,1339.5,1103,1232,1099,68.9834033486454
"2019/2020",2020,120,120,100,1782.56157069873,1523.5,1296.10702363411,1649,1450.5,1514,1433.5,78.1246091918756
"2020/2021",2021,121,121,100,1451.12511588678,1145.5,953.734608553499,1343,1066.5,1278,1066,71.198284585807
"2021/2022",2022,120,120,100,1180.80859297742,928,794.535853923313,1054.5,918,920,868.5,62.1698980559258
"2022/2023",2023,120,120,100,1550.69466859537,1243.5,1104.64654460066,1446.5,1194.5,1320,1194.5,68.0119193888199
"2023/2024",2024,120,120,100,1776.25055299964,1472,1320.82052020344,1658,1432.5,1447,1418,79.8660556038308
"2024/2025",2025,121,121,100,1758.3265698249,1390.5,1152.43521823818,1659,1297.5,1628,1297.5,78.2504655641715
"2025/2026",2026,120,120,100,1010.68752966015,695.5,603.193450294384,925.5,644,879,642.5,60.6720793563604
"2026/2027",2027,120,120,100,1743.88029419944,1435,1277.65701290844,1617,1370,1456,1368.5,78.3506126242137
"2027/2028",2028,120,120,100,1313.694031733,976.5,793.905093919628,1201,895.5,1216,895.5,59.3146240447272
"2028/2029",2029,121,121,100,1426.45486007385,1154.5,978.769234305299,1337,1066,1171,1057,70.8283740224101
"2029/2030",2030,120,120,100,1457.80013929536,1171.5,1062.88280889251,1350.5,1123.5,1240,1120,72.9415463706246
"2030/2031",2031,120,120,100,1624.67831262399,1345.5,1149.30613127985,1522.5,1281,1396,1281,76.6343218325392
"2031/2032",2032,120,120,100,1765.76392184281,1465,1295.949302186,1652,1391.5,1532,1388.5,79.5770362154299
"2032/2033",2033,121,121,100,1349.92958675764,1032.5,874.185622246438,1250.5,965.5,1203,965.5,67.1623460899873
"2033/2034",2034,120,120,100,1215.88578384415,938,836.004497974602,1091.5,905.5,946,885.5,63.9464160055522
"2034/2035",2035,120,120,100,1302.2464289378,1057,935.43205555213,1178.5,1012.5,1048,993,64.0880714601517
"2035/2036",2036,120,120,100,1593.31019608179,1309.5,1141.84264032073,1478,1250.5,1350,1247.5,74.1385513503574
"2036/2037",2037,121,121,100,1333.97689183842,1033,869.401436010059,1216,971.5,1129,966,65.7880088213569
"2037/2038",2038,120,120,100,1485.81916005904,1167,1088.67571328758,1358.5,1155,1173,1151,71.2382549398635
"2038/2039",2039,120,120,100,1937.93473264648,1701.5,1524.94097504738,1822,1658.5,1624,1657,79.7530988603567
"2039/2040",2040,120,120,100,1581.58134023621,1236,1076.72339865231,1456,1172,1318,1155,75.6858400260317
"2040/2041",2041,121,121,100,1693.37239691537,1376,1179.32544816424,1579.5,1288,1485,1288,76.470486909473
"2041/2042",2042,120,120,100,1827.85523894717,1606.5,1450.18550886171,1706,1581.5,1501,1577,78.2163157183722
"2042/2043",2043,120,120,100,1288.07155035069,1004.5,861.615663577519,1200.5,948.5,1109,948.5,67.8229476784545
"2043/2044",2044,120,120,100,1715.97067364093,1406,1230.85839341798,1583.5,1369,1455,1359,74.6700419102681
"2044/2045",2045,121,121,100,1321.05531423635,1049.5,898.891900582341,1214,989,1178,986,64.6988355112644
"2045/2046",2046,120,120,100,1345.80451821329,1053,924.869584248197,1218.5,1023,1103,986,66.8735305218197
"2046/2047",2047,120,120,100,1514.76367985143,1227,1074.73488556216,1410,1171,1307,1166,71.1699774113467
"2047/2048",2048,120,120,100,1487.76071069582,1166,997.530873885866,1376,1095.5,1332,1095.5,71.3074335560314
"2048/2049",2049,121,121,100,1460.7694078378,1188,997.741559227135,1356,1109,1306,1109,71.2196510834747
"2049/2050",2050,120,120,100,1266.81852971096,882,729.312627046689,1161.5,801.5,1115,801.5,66.8173418295846
"2050/2051",2051,120,120,100,1309.49048275186,1024,908.646389157446,1190,961.5,1037,956,66.5767554590802
"2051/2052",2052,120,120,100,1674.43474700689,1399.5,1227.40814912947,1565,1340.5,1401,1332,76.3125517635563
"2052/2053",2053,121,121,100,1635.86597210212,1330.5,1193.08687721461,1513,1294,1351,1291,74.8813334060351
"2053/2054",2054,120,120,100,1637.28037057607,1343.5,1190.07974672441,1527,1290,1344,1281,76.2601788251122
"2054/2055",2055,120,120,100,1509.37512790586,1261,1085.98868500812,1406,1194.5,1246,1193,73.1324766888465
"2055/2056",2056,120,120,100,1331.05354859441,954.5,781.93998118442,1159.5,916,1145,848,66.6308079807923
"2056/2057",2057,121,121,100,1487.30548797883,1247,1050.65918335048,1394.5,1174.5,1303,1174.5,66.4422855529783
"2057/2058",2058,120,120,100,1670.86703948578,1346.5,1185.48436150272,1541,1295,1443,1290.5,74.4800229290704
"2058/2059",2059,120,120,100,1311.03093170541,996.5,876.546137777528,1201.5,949.5,1086,948,65.5790209383376
"2059/2060",2060,120,120,100,1525.4121021773,1306.5,1185.60388748971,1406.5,1274,1246,1264.5,73.1763481388516
"2060/2061",2061,121,121,100,1581.56502155185,1304.5,1155.19347262517,1460.5,1234.5,1291,1215.5,75.6004212589651
"2061/2062",2062,120,120,100,1253.98411521578,916.5,754.550250343404,1154.5,827,1137,825.5,61.8509387429676
"2062/2063",2063,120,120,100,1472.81817138635,1126.5,921.459046190481,1358.5,1039.5,1336,1033.5,69.603029054455
"2063/2064",2064,120,120,100,1341.79438684072,1074,966.432155812166,1232,1043.5,1113,1040.5,70.1878336914197
"2064/2065",2065,121,121,100,1740.26671399077,1381,1125.94332269706,1621,1282,1560,1282,76.5596304818464
"2065/2066",2066,120,120,100,1816.72069672105,1493,1243.74049681614,1691.5,1386,1625,1386,77.7337924240601
"2066/2067",2067,120,120,100,1347.3610412186,1018.5,850.469586490879,1249.5,940.5,1216,940.5,65.5689843451364
"2067/2068",2068,120,120,100,1859.2470344255,1647.5,1455.88349204565,1737.5,1575,1554,1574,78.7313303968931
"2068/2069",2069,121,121,100,1514.42298581835,1205.5,1054.0120484061,1386,1141,1288,1139.5,72.8178992233006
"2069/2070",2070,120,120,100,1589.01759210031,1326.5,1188.27277815823,1493,1283,1372,1281.5,72.592012053452
"2070/2071",2071,120,120,100,1453.86946977428,1140.5,1020.91940370783,1329,1105,1136,1097,69.8729227167514
"2071/2072",2072,120,120,100,1436.13754613974,1205.5,1043.14141788899,1350,1150,1226,1150,66.9806648071826
"2072/2073",2073,121,121,100,1831.44294897665,1598.5,1413.66692197356,1728,1537.5,1548,1529.5,79.1030201981321
"2073/2074",2074,120,120,100,1240.81217745005,994.5,847.00840893756,1128.5,943.5,997,910,63.5042539498336
"2074/2075",2075,120,120,100,1616.64413350911,1376.5,1236.10314026067,1484,1350.5,1328,1332,75.1505237659821
"2075/2076",2076,120,120,100,1887.85291732641,1593.5,1392.91185608397,1780.5,1520,1630,1515,80.8564688801671
"2076/2077",2077,121,121,100,1398.22102027771,1034.5,874.399009834175,1288,964,1232,964,70.1526624468752
"2077/2078",2078,120,120,100,1369.67098485937,1026.5,860.219540384525,1256.5,955.5,1208,955.5,64.3035684980259
"2078/2079",2079,120,120,100,1637.82672626767,1303.5,1090.56901945759,1533.5,1216.5,1452,1205.5,71.9076778899744
"2079/2080",2080,120,120,100,1806.4002268163,1490,1284.57872663715,1702.5,1417,1573,1417,77.6369718694114
"2080/2081",2081,121,121,100,1430.52257789311,1274.5,1152.02403230184,1319,1234.5,1164,1232.5,66.288687822811
"2081/2082",2082,120,120,100,1527.49120263528,1216.5,1052.06053507274,1405,1175,1263,1151.5,69.6082507976625
"2082/2083",2083,120,120,100,1628.26684969832,1414.5,1209.92115509849,1521.5,1356,1412,1341,74.5124922618579
"2083/2084",2084,120,120,100,1614.95084250002,1256.5,1068.15802614538,1497,1176,1423,1175.5,75.4409615126606
"2084/2085",2085,121,121,100,1504.3448234055,1195.5,1014.39660145003,1369.5,1153,1293,1135.5,65.0693397553969
"2085/2086",2086,120,120,100,1417.65023216017,1165.5,1046.06817476949,1313,1117,1151,1117,67.8398548751502
"2086/2087",2087,120,120,100,1374.4924458504,1049.5,916.985119644582,1252.5,978.5,1175,968.5,68.3097179617816
"2087/2088",2088,120,120,100,1371.45592924632,1107,958.13326436108,1263.5,1060,1116,1052,66.9105911222978
"2088/2089",2089,121,121,100,1567.02204067359,1308.5,1097.43790642342,1465,1213.5,1378,1209,71.5332453055307
"2089/2090",2090,120,120,100,1463.30194385827,1105,901.583782162459,1361.5,999.5,1335,999.5,70.3171909281518
"2090/2091",2091,120,120,100,1262.65154511132,1009,935.616315191131,1147,996,987,995.5,64.4549071105703
"2091/2092",2092,120,120,100,1411.95392474299,1100.5,903.50305746161,1295.5,1019.5,1239,1018,70.5317209116456
"2092/2093",2093,121,121,100,1550.94994272286,1290,1154.02879468148,1448,1233.5,1303,1224.5,74.863682347097
"2093/2094",2094,120,120,100,1197.30242859141,1034.5,992.323883367499,1099,1035,882,1033.5,60.2654005016866
"2094/2095",2095,120,120,100,1629.4841798608,1297,1089.8340056482,1514,1209.5,1457,1209.5,75.0440682268745
"2095/2096",2096,120,120,100,1593.01392177126,1289,1157.72419496266,1472,1253.5,1308,1238.5,75.3443722835691
"2096/2097",2097,121,121,100,1274.03074489941,998,852.019987541426,1108.5,987.5,1012,903,65.7109364866883
"2097/2098",2098,120,120,100,1328.20782596048,1118,993.982096995547,1226,1106.5,1058,1095.5,63.9181633113785
"2098/2099",2099,120,120,100,1615.22241973935,1332.5,1157.1459724875,1488.5,1286,1374,1276.5,73.9564457540182
"2099/2100",2100,120,120,100,1649.73238158191,1309.5,1083.51858776355,1545,1195.5,1474,1181,72.7648695938715
"2100/2101",2101,120,120,100,1561.27763584832,1297,1183.97314829686,1435,1268.5,1269,1268.5,70.3643572699275
