"","DATE","Measured_Temp","Linear_Interp","Non_Linear_Interp"
"1",2019-04-01 01:00:00,3.43500001827876,-0.420000007996957,-0.420000007996957
"2",2019-04-01 02:00:00,2.08999998370806,-0.420000007996957,-0.420000007996957
"3",2019-04-01 03:00:00,1.26166667342186,-0.420000007996957,-0.420000007996957
"4",2019-04-01 04:00:00,0.615000003079573,-0.420000007996957,-0.420000007996957
"5",2019-04-01 05:00:00,0.0583333360652129,-0.420000007996957,-0.420000007996957
"6",2019-04-01 06:00:00,-0.356666673968236,-0.420000007996957,1.04165679726606
"7",2019-04-01 07:00:00,-0.420000007996957,-0.420000007996957,4.38241985096776
"8",2019-04-01 08:00:00,0.966666665673256,1.40299999343852,7.55695429108579
"9",2019-04-01 09:00:00,3.93333336512248,3.22599999487399,10.4553783342168
"10",2019-04-01 10:00:00,6.41833333969116,5.04899999630947,12.9773673472766
"11",2019-04-01 11:00:00,9.20499998728434,6.87199999774495,15.035626435311
"12",2019-04-01 12:00:00,11.6483333269755,8.69499999918042,16.5589120243202
"13",2019-04-01 13:00:00,13.0883333206177,10.5180000006159,17.4944978515056
"14",2019-04-01 14:00:00,14.5099999745687,12.3410000020514,17.8100000063578
"15",2019-04-01 15:00:00,16.2199999491374,14.1640000034868,17.4944978515056
"16",2019-04-01 16:00:00,17.464999961853,15.9870000049223,16.5589120243202
"17",2019-04-01 17:00:00,17.8100000063578,17.8100000063578,15.035626435311
"18",2019-04-01 18:00:00,16.8549998919169,16.2983333377043,12.9773673472766
"19",2019-04-01 19:00:00,14.028333346049,14.7866666690508,10.2717890658101
"20",2019-04-01 20:00:00,10.4783333301544,13.2750000003973,8.44309829849463
"21",2019-04-01 21:00:00,7.38500004609426,11.7633333317439,7.22374391548323
"22",2019-04-01 22:00:00,6.17833336194356,10.2516666630904,6.30760909677185
"23",2019-04-01 23:00:00,5.22333334287008,8.73999999443689,5.57352925664361
"24",2019-04-02 00:00:00,4.98833334445953,7.2283333257834,4.70287254361603
"25",2019-04-02 01:00:00,4.25000003576279,5.71666665712992,4.16068378269026
"26",2019-04-02 02:00:00,2.99166665077209,4.20499998847644,3.68587221779903
"27",2019-04-02 03:00:00,2.69333331982295,2.69333331982295,3.2635279198607
"28",2019-04-02 04:00:00,2.72333335081736,3.8012820378328,2.88320070861993
"29",2019-04-02 05:00:00,3.6050000111262,4.90923075584265,2.53728169335584
"30",2019-04-02 06:00:00,4.02499998013178,6.0171794738525,3.92788897667405
"31",2019-04-02 07:00:00,5.74000000158946,7.12512819186235,6.55515050520288
"32",2019-04-02 08:00:00,7.54833336671193,8.2330769098722,9.04973237940774
"33",2019-04-02 09:00:00,10.4516667048136,9.34102562788205,11.3259287657744
"34",2019-04-02 10:00:00,12.1899999936422,10.4489743458919,13.3055368558272
"35",2019-04-02 11:00:00,13.1283332824707,11.5569230639018,14.9205436638455
"36",2019-04-02 12:00:00,14.6483332792918,12.6648717819116,16.1154627349472
"37",2019-04-02 13:00:00,15.7883333524068,13.7728204999215,16.8492404817438
"38",2019-04-02 14:00:00,15.2083334445953,14.8807692179313,17.096666653951
"39",2019-04-02 15:00:00,16.8650000413259,15.9887179359412,16.8492404817438
"40",2019-04-02 16:00:00,17.096666653951,17.096666653951,16.1154627349472
"41",2019-04-02 17:00:00,14.3133333365123,16.7873912928761,14.9205436638455
"42",2019-04-02 18:00:00,13.3333333333333,16.4781159318012,13.3055368558272
"43",2019-04-02 19:00:00,12.5866667111715,16.1688405707262,11.2301026788812
"44",2019-04-02 20:00:00,9.52666672070821,15.8595652096513,9.83095847193583
"45",2019-04-02 21:00:00,7.9766667842865,15.5502898485764,8.90312029554428
"46",2019-04-02 22:00:00,7.70333334604899,15.2410144875015,8.20785919361666
"47",2019-04-02 23:00:00,8.02333331902822,14.9317391264266,7.65163940332504
"48",2019-04-03 00:00:00,8.39666657447815,14.6224637653517,6.99238673498086
"49",2019-04-03 01:00:00,7.65166663328807,14.3131884042767,6.58226479108634
"50",2019-04-03 02:00:00,6.84833334287008,14.0039130432018,6.22330932453342
"51",2019-04-03 03:00:00,6.68166661262512,13.6946376821269,5.90415788549567
"52",2019-04-03 04:00:00,6.56833326816559,13.385362321052,5.61685744650753
"53",2019-04-03 05:00:00,6.52666664123535,13.0760869599771,5.35562354155365
"54",2019-04-03 06:00:00,6.23833339214325,12.7668115989022,5.89220175473824
"55",2019-04-03 07:00:00,6.06333333651225,12.4575362378272,6.70952667456134
"56",2019-04-03 08:00:00,6.3399999777476,12.1482608767523,7.48497754457072
"57",2019-04-03 09:00:00,6.86833333969116,11.8389855156774,8.19210894866645
"58",2019-04-03 10:00:00,7.71333334445953,11.5297101546025,8.80680538844382
"59",2019-04-03 11:00:00,9.02000006039937,11.2204347935276,9.30810370072416
"60",2019-04-03 12:00:00,9.5116666952769,10.9111594324527,9.67890797012305
"61",2019-04-03 13:00:00,9.82166668574015,10.6018840713777,9.90657255579445
"62",2019-04-03 14:00:00,9.7600000222524,10.2926087103028,9.9833333492279
"63",2019-04-03 15:00:00,9.9833333492279,9.9833333492279,9.90657255579445
"64",2019-04-03 16:00:00,9.93333317438761,9.42062501609325,9.67890797012305
"65",2019-04-03 17:00:00,9.32666664123535,8.8579166829586,9.30810370072416
"66",2019-04-03 18:00:00,8.24500006039937,8.29520834982395,8.80680538844382
"67",2019-04-03 19:00:00,7.1699999888738,7.7325000166893,7.69986808679637
"68",2019-04-03 20:00:00,6.51166665554047,7.16979168355465,6.68500907058285
"69",2019-04-03 21:00:00,6.05499999523163,6.60708335042,6.01578612595879
"70",2019-04-03 22:00:00,5.86166664759318,6.04437501728535,5.51566829430096
"71",2019-04-03 23:00:00,5.4816666841507,5.4816666841507,5.11620537077525
"72",2019-04-04 00:00:00,5.12499996026357,5.60842594261523,4.64584020776004
"73",2019-04-04 01:00:00,4.83666671911875,5.73518520107976,4.35105279215812
"74",2019-04-04 02:00:00,4.3599999666214,5.86194445954429,4.09318828413489
"75",2019-04-04 03:00:00,4.16833326816559,5.98870371800882,3.86401839722422
"76",2019-04-04 04:00:00,3.75333332618077,6.11546297647335,3.65779166629853
"77",2019-04-04 05:00:00,3.74166667064031,6.24222223493788,3.47032940314278
"78",2019-04-04 06:00:00,3.87000000874201,6.36898149340241,3.97218124122896
"79",2019-04-04 07:00:00,3.9200000166893,6.49574075186695,4.73059674404334
"80",2019-04-04 08:00:00,4.53600002288818,6.62250001033147,5.44960979700536
"81",2019-04-04 09:00:00,5.39333334763845,6.74925926879601,6.1048796975993
"82",2019-04-04 10:00:00,6.81500000158946,6.87601852726054,6.67422363613601
"83",2019-04-04 11:00:00,7.41166667938232,7.00277778572507,7.13836764897887
"84",2019-04-04 12:00:00,7.41833335558573,7.1295370441896,7.48159909879185
"85",2019-04-04 13:00:00,7.6900000333786,7.25629630265413,7.69229859343801
"86",2019-04-04 14:00:00,7.47666664918264,7.38305556111866,7.76333333651225
"87",2019-04-04 15:00:00,7.27333331902822,7.50981481958319,7.69229859343801
"88",2019-04-04 16:00:00,7.12999998728434,7.63657407804772,7.48159909879185
"89",2019-04-04 17:00:00,7.76333333651225,7.76333333651225,7.13836764897887
"90",2019-04-04 18:00:00,7.62833334604899,7.06388889153799,6.67422363613601
"91",2019-04-04 19:00:00,7.24333337148031,6.36444444656372,3.56666666666667
"92",2019-04-04 20:00:00,5.88666672706604,5.66500000158946,3.56666666666667
"93",2019-04-04 21:00:00,4.78000001907349,4.9655555566152,3.56666666666667
"94",2019-04-04 22:00:00,4.00333329836528,4.26611111164093,3.56666666666667
"95",2019-04-04 23:00:00,3.56666666666667,3.56666666666667,3.56666666666667
